trade_id,trade_date,security_id,trader_id,trade_type,quantity,price,last_modified_ts
100224,2026-05-19,1,6,SELL,500,1155.56,2026-05-19 17:43:00
100137,2026-05-13,2,4,BUY,4200,2688.04,2026-05-13 16:59:00
100112,2026-05-11,5,6,BUY,4100,2798.81,2026-05-11 16:06:00
100496,2026-06-09,8,2,BUY,4000,2038.49,2026-06-09 12:41:00
100254,2026-05-22,5,1,BUY,1900,1238.77,2026-05-22 09:55:00
100276,2026-05-25,2,5,BUY,2000,652.2,2026-05-25 14:59:00
100263,2026-05-22,6,3,SELL,3700,248.78,2026-05-22 11:43:00
100282,2026-05-25,5,6,SELL,3100,896.88,2026-05-25 15:19:00
100521,2026-06-11,6,3,BUY,500,1192.52,2026-06-11 15:10:00
100359,2026-05-29,6,2,SELL,2100,1412.49,2026-05-29 12:47:00
100015,2026-05-01,8,2,SELL,900,902.21,2026-05-01 17:34:00
100190,2026-05-15,6,6,SELL,2400,3058.46,2026-05-15 16:04:00
100156,2026-05-14,2,4,SELL,3800,1062.42,2026-05-14 15:44:00
100394,2026-06-02,6,2,SELL,2100,1038.92,2026-06-02 16:36:00
100178,2026-05-15,4,1,BUY,3800,808.65,2026-05-15 12:21:00
100084,2026-05-07,7,4,BUY,134000,97.19,2026-05-07 15:31:00
100455,2026-06-05,7,1,BUY,137000,101.38,2026-06-05 10:33:00
100528,2026-06-11,8,1,SELL,2600,1586.38,2026-06-11 13:05:00
100158,2026-05-14,4,4,SELL,3700,1052.41,2026-05-14 13:01:00
100293,2026-05-25,4,3,SELL,500,1328.36,2026-05-25 16:48:00
100553,2026-06-12,2,3,BUY,2500,301.44,2026-06-12 12:54:00
100222,2026-05-19,3,1,BUY,191000,99.38,2026-05-19 16:33:00
100378,2026-06-01,6,4,BUY,4500,2358.7,2026-06-01 17:47:00
100261,2026-05-22,1,1,SELL,2400,1714.91,2026-05-22 11:01:00
100240,2026-05-21,6,2,BUY,2100,2989.02,2026-05-21 14:50:00
100549,2026-06-12,1,2,BUY,3000,304.21,2026-06-12 14:45:00
100509,2026-06-10,3,1,SELL,28000,98.74,2026-06-10 15:37:00
100239,2026-05-21,7,1,SELL,138000,98.74,2026-05-21 15:05:00
100063,2026-05-06,5,1,BUY,3900,1475.42,2026-05-06 14:27:00
100150,2026-05-14,5,2,BUY,2800,3133.93,2026-05-14 10:28:00
100123,2026-05-12,5,2,BUY,400,656.06,2026-05-12 13:38:00
100346,2026-05-29,5,2,BUY,2700,1066.53,2026-05-29 09:35:00
100545,2026-06-12,6,3,SELL,3900,2118.94,2026-06-12 12:28:00
100336,2026-05-28,2,5,BUY,500,3157.72,2026-05-28 16:02:00
100504,2026-06-10,4,5,SELL,4800,2277.76,2026-06-10 09:45:00
100230,2026-05-20,2,3,BUY,3300,2501.17,2026-05-20 17:02:00
100035,2026-05-04,3,3,SELL,73000,103.74,2026-05-04 10:28:00
100327,2026-05-27,3,4,SELL,186000,96.17,2026-05-27 13:23:00
100227,2026-05-20,2,3,SELL,4200,2564.57,2026-05-20 11:42:00
100283,2026-05-25,8,1,BUY,1100,1490.8,2026-05-25 16:29:00
100286,2026-05-25,6,2,SELL,800,965.79,2026-05-25 12:09:00
100019,2026-05-01,5,5,BUY,4400,2348.2,2026-05-01 17:48:00
100040,2026-05-05,1,6,SELL,400,302.93,2026-05-05 16:32:00
100070,2026-05-06,6,4,SELL,2900,2210.66,2026-05-06 17:30:00
100208,2026-05-19,7,6,BUY,121000,95.19,2026-05-19 10:55:00
100472,2026-06-08,6,1,BUY,1200,830.71,2026-06-08 17:02:00
100374,2026-06-01,6,5,BUY,3400,2953.41,2026-06-01 12:13:00
100080,2026-05-07,5,3,SELL,3500,395.76,2026-05-07 11:14:00
100493,2026-06-09,8,2,BUY,2200,523.71,2026-06-09 16:03:00
100467,2026-06-08,2,4,SELL,3300,1248.38,2026-06-08 16:54:00
100277,2026-05-25,4,3,SELL,600,914.35,2026-05-25 17:17:00
100275,2026-05-25,3,2,SELL,138000,104.11,2026-05-25 09:53:00
100497,2026-06-09,5,4,SELL,3600,1611.04,2026-06-09 10:17:00
100183,2026-05-15,6,5,BUY,2900,1686.71,2026-05-15 09:46:00
100167,2026-05-14,7,5,SELL,33000,102.91,2026-05-14 09:16:00
100273,2026-05-22,7,4,BUY,42000,104.72,2026-05-22 10:28:00
100045,2026-05-05,2,1,SELL,4000,3195.29,2026-05-05 10:04:00
100194,2026-05-18,1,3,SELL,2300,465.98,2026-05-18 17:13:00
100538,2026-06-12,8,1,SELL,800,1414.05,2026-06-12 11:36:00
100264,2026-05-22,8,3,SELL,2900,2477.41,2026-05-22 11:33:00
100009,2026-05-01,4,3,BUY,1500,2792.78,2026-05-01 15:17:00
100230,2026-05-20,2,3,BUY,3300,2501.17,2026-05-20 17:02:00
100231,2026-05-20,6,5,BUY,3900,1299.0,2026-05-20 11:11:00
100038,2026-05-04,7,1,SELL,77000,104.27,2026-05-04 16:18:00
100440,2026-06-04,2,6,SELL,200,528.92,2026-06-04 11:28:00
100381,2026-06-01,4,3,SELL,2800,716.5,2026-06-01 15:05:00
100036,2026-05-04,2,1,BUY,600,2975.42,2026-05-04 12:10:00
