,trade_id,trade_date,security_id,trader_id,trade_type,quantity,price,last_modified_ts,trade_value
0,100224,2026-05-19,1,6,SELL,500,1155.56,2026-05-19 17:43:00,577780.0
1,100137,2026-05-13,2,4,BUY,4200,2688.04,2026-05-13 16:59:00,11289768.0
2,100112,2026-05-11,5,6,BUY,4100,2798.81,2026-05-11 16:06:00,11475121.0
3,100496,2026-06-09,8,2,BUY,4000,2038.49,2026-06-09 12:41:00,8153960.0
4,100254,2026-05-22,5,1,BUY,1900,1238.77,2026-05-22 09:55:00,2353663.0
5,100276,2026-05-25,2,5,BUY,2000,652.2,2026-05-25 14:59:00,1304400.0
6,100263,2026-05-22,6,3,SELL,3700,248.78,2026-05-22 11:43:00,920486.0
7,100282,2026-05-25,5,6,SELL,3100,896.88,2026-05-25 15:19:00,2780328.0
8,100521,2026-06-11,6,3,BUY,500,1192.52,2026-06-11 15:10:00,596260.0
9,100359,2026-05-29,6,2,SELL,2100,1412.49,2026-05-29 12:47:00,2966229.0
10,100015,2026-05-01,8,2,SELL,900,902.21,2026-05-01 17:34:00,811989.0
11,100190,2026-05-15,6,6,SELL,2400,3058.46,2026-05-15 16:04:00,7340304.0
12,100156,2026-05-14,2,4,SELL,3800,1062.42,2026-05-14 15:44:00,4037196.0000000005
13,100394,2026-06-02,6,2,SELL,2100,1038.92,2026-06-02 16:36:00,2181732.0
14,100178,2026-05-15,4,1,BUY,3800,808.65,2026-05-15 12:21:00,3072870.0
15,100084,2026-05-07,7,4,BUY,134000,97.19,2026-05-07 15:31:00,13023460.0
16,100455,2026-06-05,7,1,BUY,137000,101.38,2026-06-05 10:33:00,13889060.0
17,100528,2026-06-11,8,1,SELL,2600,1586.38,2026-06-11 13:05:00,4124588.0000000005
18,100158,2026-05-14,4,4,SELL,3700,1052.41,2026-05-14 13:01:00,3893917.0000000005
19,100293,2026-05-25,4,3,SELL,500,1328.36,2026-05-25 16:48:00,664180.0
20,100553,2026-06-12,2,3,BUY,2500,301.44,2026-06-12 12:54:00,753600.0
